original_role,standard_role

JM Pipefitter,Journeyman Pipefitter
J. Pipefitter,Journeyman Pipefitter
Journeyman P.F.,Journeyman Pipefitter
Pipefitter JM,Journeyman Pipefitter

Sheet Metal JM,Journeyman Sheet Metal
Journeyman S.M.,Journeyman Sheet Metal
J. Sheet Metal,Journeyman Sheet Metal
JM Sheet Metal,Journeyman Sheet Metal

Apprentice 2nd Year,Apprentice
Apprentice 2nd Yr,Apprentice
App 2nd Year,Apprentice
Apprentice - 2nd,Apprentice

Apprentice 4th Year,Apprentice
Apprentice - 4th,Apprentice
Apprentice 4th Yr,Apprentice
App 4th Year,Apprentice
4th Yr Apprentice,Apprentice
Apprentice 3rd Year,Apprentice
Apprentice Controls,Apprentice

Helper,Helper/Laborer

Controls Tech,Controls Technician
DDC Tech,Controls Technician
Ctrl Technician,Controls Technician
Controls Specialist,Controls Technician

Fmn,Foreman
Lead Foreman,Foreman
General Foreman,Foreman